(8194, '10ανακυψασ', 1, 'N/A', 'N/A', 'N/A', 'N/A')
(11880, 'εγειραντα', 2, 'N/A', 'N/A', 'N/A', 'N/A')
(12028, 'εγειραντοσ', 3, 'N/A', 'N/A', 'N/A', 'N/A')
(12029, 'εγειρασ', 3, 'N/A', 'N/A', 'N/A', 'N/A')
(1465, 'εγειρε', 18, 'N/A', 'N/A', 'N/A', 'N/A')
(7988, 'εγειρει', 2, 'N/A', 'N/A', 'N/A', 'N/A')
(14527, 'εγειρειν', 2, 'N/A', 'N/A', 'N/A', 'N/A')
(3831, 'εγειρεσθε', 3, 'N/A', 'N/A', 'N/A', 'N/A')
(8152, 'εγειρεται', 8, 'N/A', 'N/A', 'N/A', 'N/A')
(1661, 'εγειρετε', 1, 'N/A', 'N/A', 'N/A', 'N/A')
(4385, 'εγειρηται', 1, 'N/A', 'N/A', 'N/A', 'N/A')
(4091, 'εγειρομαι', 1, 'N/A', 'N/A', 'N/A', 'N/A')
(1823, 'εγειρονται', 9, 'N/A', 'N/A', 'N/A', 'N/A')
(13438, 'εγειροντι', 1, 'N/A', 'N/A', 'N/A', 'N/A')
(6312, 'εγειρου', 2, 'N/A', 'N/A', 'N/A', 'N/A')
(4426, 'εγειρουσιν', 1, 'N/A', 'N/A', 'N/A', 'N/A')
(7777, 'εγεμισαν', 2, 'N/A', 'N/A', 'N/A', 'N/A')
(17668, 'εγεμισεν', 1, 'N/A', 'N/A', 'N/A', 'N/A')
(17948, 'εγεμισθη', 1, 'N/A', 'N/A', 'N/A', 'N/A')
(6972, 'εγενεσθε', 4, 'N/A', 'N/A', 'N/A', 'N/A')
(1268, 'εγενετο', 242, 'N/A', 'N/A', 'N/A', 'N/A')
(3196, 'εγενηθη', 12, 'N/A', 'N/A', 'N/A', 'N/A')
(12171, 'εγενηθημεν', 7, 'N/A', 'N/A', 'N/A', 'N/A')
(14333, 'εγενηθην', 1, 'N/A', 'N/A', 'N/A', 'N/A')
(1916, 'εγενηθησαν', 6, 'N/A', 'N/A', 'N/A', 'N/A')
(14307, 'εγενηθητε', 7, 'N/A', 'N/A', 'N/A', 'N/A')
(89, 'εγεννηθη', 7, 'N/A', 'N/A', 'N/A', 'N/A')
(8927, 'εγεννηθημεν', 1, 'N/A', 'N/A', 'N/A', 'N/A')
(8277, 'εγεννηθησ', 1, 'N/A', 'N/A', 'N/A', 'N/A')
(2905, 'εγεννηθησαν', 3, 'N/A', 'N/A', 'N/A', 'N/A')
(12750, 'εγεννησα', 2, 'N/A', 'N/A', 'N/A', 'N/A')
(7533, 'εγεννησαν', 1, 'N/A', 'N/A', 'N/A', 'N/A')
(11, 'εγεννησεν', 42, 'N/A', 'N/A', 'N/A', 'N/A')
(10726, 'εγενομην', 14, 'N/A', 'N/A', 'N/A', 'N/A')
(1895, 'εγενοντο', 29, 'N/A', 'N/A', 'N/A', 'N/A')
(7190, 'εγενου', 2, 'N/A', 'N/A', 'N/A', 'N/A')
(1986, 'εγερει', 3, 'N/A', 'N/A', 'N/A', 'N/A')
(7807, 'εγερεισ', 1, 'N/A', 'N/A', 'N/A', 'N/A')
(181, 'εγερθεισ', 17, 'N/A', 'N/A', 'N/A', 'N/A')
(11982, 'εγερθεντι', 2, 'N/A', 'N/A', 'N/A', 'N/A')
(2703, 'εγερθη', 2, 'N/A', 'N/A', 'N/A', 'N/A')
(2651, 'εγερθηναι', 6, 'N/A', 'N/A', 'N/A', 'N/A')
(2089, 'εγερθησεται', 7, 'N/A', 'N/A', 'N/A', 'N/A')
(3481, 'εγερθησονται', 4, 'N/A', 'N/A', 'N/A', 'N/A')
(2696, 'εγερθητε', 1, 'N/A', 'N/A', 'N/A', 'N/A')
(6144, 'εγερθητι', 1, 'N/A', 'N/A', 'N/A', 'N/A')
(4054, 'εγερσιν', 1, 'N/A', 'N/A', 'N/A', 'N/A')
(7803, 'εγερω', 1, 'N/A', 'N/A', 'N/A', 'N/A')
(16812, 'εγευσασθε', 1, 'N/A', 'N/A', 'N/A', 'N/A')
(7781, 'εγευσατο', 1, 'N/A', 'N/A', 'N/A', 'N/A')
(5332, 'εγηγερμενον', 2, 'N/A', 'N/A', 'N/A', 'N/A')
(1848, 'εγηγερται', 15, 'N/A', 'N/A', 'N/A', 'N/A')
(6826, 'εγημα', 1, 'N/A', 'N/A', 'N/A', 'N/A')
(7961, 'εγινετο', 5, 'N/A', 'N/A', 'N/A', 'N/A')
(188, 'εγινωσκεν', 4, 'N/A', 'N/A', 'N/A', 'N/A')
(7144, 'εγινωσκον', 1, 'N/A', 'N/A', 'N/A', 'N/A')
(7259, 'εγκαθετουσ', 1, 'N/A', 'N/A', 'N/A', 'N/A')
(8311, 'εγκαινια', 1, 'N/A', 'N/A', 'N/A', 'N/A')
(7094, 'εγκακειν', 2, 'N/A', 'N/A', 'N/A', 'N/A')
(15050, 'εγκακησητε', 1, 'N/A', 'N/A', 'N/A', 'N/A')
(13540, 'εγκακουμεν', 2, 'N/A', 'N/A', 'N/A', 'N/A')
(14240, 'εγκακωμεν', 1, 'N/A', 'N/A', 'N/A', 'N/A')
(10651, 'εγκαλεισθαι', 1, 'N/A', 'N/A', 'N/A', 'N/A')
(10645, 'εγκαλειτωσαν', 1, 'N/A', 'N/A', 'N/A', 'N/A')
(12086, 'εγκαλεσει', 1, 'N/A', 'N/A', 'N/A', 'N/A')
(11234, 'εγκαλουμαι', 2, 'N/A', 'N/A', 'N/A', 'N/A')
(11046, 'εγκαλουμενον', 1, 'N/A', 'N/A', 'N/A', 'N/A')
(13556, 'εγκαταλειπομενοι', 1, 'N/A', 'N/A', 'N/A', 'N/A')
(16170, 'εγκαταλειποντεσ', 1, 'N/A', 'N/A', 'N/A', 'N/A')
(16441, 'εγκαταλειπω', 2, 'N/A', 'N/A', 'N/A', 'N/A')
(8989, 'εγκαταλειψεισ', 1, 'N/A', 'N/A', 'N/A', 'N/A')
(16442, 'εγκαταλιπω', 1, 'N/A', 'N/A', 'N/A', 'N/A')
(9003, 'εγκατελειφθη', 1, 'N/A', 'N/A', 'N/A', 'N/A')
(12169, 'εγκατελιπεν', 2, 'N/A', 'N/A', 'N/A', 'N/A')
(4033, 'εγκατελιπεσ', 4, 'N/A', 'N/A', 'N/A', 'N/A')
(15578, 'εγκατελιπον', 1, 'N/A', 'N/A', 'N/A', 'N/A')
(17097, 'εγκατοικων', 1, 'N/A', 'N/A', 'N/A', 'N/A')
(14993, 'εγκαυχασθαι', 1, 'N/A', 'N/A', 'N/A', 'N/A')
(16114, 'εγκεκαινισται', 1, 'N/A', 'N/A', 'N/A', 'N/A')
(12270, 'εγκεντρισαι', 1, 'N/A', 'N/A', 'N/A', 'N/A')
(12269, 'εγκεντρισθησονται', 2, 'N/A', 'N/A', 'N/A', 'N/A')
(12254, 'εγκεντρισθω', 1, 'N/A', 'N/A', 'N/A', 'N/A')
(11048, 'εγκλημα', 3, 'N/A', 'N/A', 'N/A', 'N/A')
(11190, 'εγκληματοσ', 1, 'N/A', 'N/A', 'N/A', 'N/A')
(16991, 'εγκομβωσασθε', 1, 'N/A', 'N/A', 'N/A', 'N/A')
(12977, 'εγκοπην', 3, 'N/A', 'N/A', 'N/A', 'N/A')
(16893, 'εγκοπτεσθαι', 1, 'N/A', 'N/A', 'N/A', 'N/A')
(11078, 'εγκοπτω', 1, 'N/A', 'N/A', 'N/A', 'N/A')
(14216, 'εγκρατεια', 2, 'N/A', 'N/A', 'N/A', 'N/A')
(17024, 'εγκρατειαν', 1, 'N/A', 'N/A', 'N/A', 'N/A')
(11134, 'εγκρατειασ', 1, 'N/A', 'N/A', 'N/A', 'N/A')
(13010, 'εγκρατευεται', 1, 'N/A', 'N/A', 'N/A', 'N/A')
(12852, 'εγκρατευονται', 1, 'N/A', 'N/A', 'N/A', 'N/A')
(15608, 'εγκρατη', 1, 'N/A', 'N/A', 'N/A', 'N/A')
(13842, 'εγκριναι', 1, 'N/A', 'N/A', 'N/A', 'N/A')
(5583, 'εγκυω', 1, 'N/A', 'N/A', 'N/A', 'N/A')
(4506, 'εγνω', 20, 'N/A', 'N/A', 'N/A', 'N/A')
(8021, 'εγνωκα', 4, 'N/A', 'N/A', 'N/A', 'N/A')
(8096, 'εγνωκαμεν', 6, 'N/A', 'N/A', 'N/A', 'N/A')
(8626, 'εγνωκαν', 1, 'N/A', 'N/A', 'N/A', 'N/A')
(8522, 'εγνωκασ', 1, 'N/A', 'N/A', 'N/A', 'N/A')
(8242, 'εγνωκατε', 5, 'N/A', 'N/A', 'N/A', 'N/A')
(1972, 'εγνωκειτε', 5, 'N/A', 'N/A', 'N/A', 'N/A')
(12647, 'εγνωκεν', 5, 'N/A', 'N/A', 'N/A', 'N/A')
(12934, 'εγνωκεναι', 1, 'N/A', 'N/A', 'N/A', 'N/A')
(17290, 'εγνωκοτεσ', 1, 'N/A', 'N/A', 'N/A', 'N/A')
(1239, 'εγνων', 6, 'N/A', 'N/A', 'N/A', 'N/A')
(8569, 'εγνωρισα', 2, 'N/A', 'N/A', 'N/A', 'N/A')
(17048, 'εγνωρισαμεν', 1, 'N/A', 'N/A', 'N/A', 'N/A')
(5613, 'εγνωρισαν', 1, 'N/A', 'N/A', 'N/A', 'N/A')
(8994, 'εγνωρισασ', 1, 'N/A', 'N/A', 'N/A', 'N/A')
(5607, 'εγνωρισεν', 3, 'N/A', 'N/A', 'N/A', 'N/A')
(14326, 'εγνωρισθη', 2, 'N/A', 'N/A', 'N/A', 'N/A')
(7225, 'εγνωσ', 3, 'N/A', 'N/A', 'N/A', 'N/A')
(3205, 'εγνωσαν', 17, 'N/A', 'N/A', 'N/A', 'N/A')
(7673, 'εγνωσθη', 2, 'N/A', 'N/A', 'N/A', 'N/A')
(12935, 'εγνωσται', 1, 'N/A', 'N/A', 'N/A', 'N/A')
(2998, 'εγογγυζον', 3, 'N/A', 'N/A', 'N/A', 'N/A')
(13034, 'εγογγυσαν', 1, 'N/A', 'N/A', 'N/A', 'N/A')
(8167, 'εγραφεν', 6, 'N/A', 'N/A', 'N/A', 'N/A')
(6434, 'εγραφη', 6, 'N/A', 'N/A', 'N/A', 'N/A')
(12471, 'εγραψα', 19, 'N/A', 'N/A', 'N/A', 'N/A')
(10526, 'εγραψαν', 1, 'N/A', 'N/A', 'N/A', 'N/A')
(12836, 'εγραψατε', 1, 'N/A', 'N/A', 'N/A', 'N/A')
(4889, 'εγραψεν', 8, 'N/A', 'N/A', 'N/A', 'N/A')
(3573, 'εγρηγορησεν', 3, 'N/A', 'N/A', 'N/A', 'N/A')
(17525, 'εγχρισαι', 1, 'N/A', 'N/A', 'N/A', 'N/A')
(17523, 'εγχριση', 3, 'N/A', 'N/A', 'N/A', 'N/A')
(17524, 'εγχρισον', 1, 'N/A', 'N/A', 'N/A', 'N/A')
(460, 'εγω', 443, 'N/A', 'N/A', 'N/A', 'N/A')
(8368, 'εδακρυσεν', 1, 'N/A', 'N/A', 'N/A', 'N/A')
(7232, 'εδαφιουσιν', 1, 'N/A', 'N/A', 'N/A', 'N/A')
(10923, 'εδαφοσ', 1, 'N/A', 'N/A', 'N/A', 'N/A')
(6287, 'εδεετο', 2, 'N/A', 'N/A', 'N/A', 'N/A')
(5941, 'εδεηθη', 1, 'N/A', 'N/A', 'N/A', 'N/A')
(6376, 'εδεηθην', 2, 'N/A', 'N/A', 'N/A', 'N/A')
(2864, 'εδει', 22, 'N/A', 'N/A', 'N/A', 'N/A')
(14767, 'εδειγματισεν', 1, 'N/A', 'N/A', 'N/A', 'N/A')
(8318, 'εδειξα', 1, 'N/A', 'N/A', 'N/A', 'N/A')
(5824, 'εδειξεν', 6, 'N/A', 'N/A', 'N/A', 'N/A')
(3178, 'εδειραν', 2, 'N/A', 'N/A', 'N/A', 'N/A')
(6288, 'εδειτο', 1, 'N/A', 'N/A', 'N/A', 'N/A')
(11586, 'εδεξαμεθα', 1, 'N/A', 'N/A', 'N/A', 'N/A')
(6397, 'εδεξαντο', 7, 'N/A', 'N/A', 'N/A', 'N/A')
(13717, 'εδεξασθε', 4, 'N/A', 'N/A', 'N/A', 'N/A')
(5644, 'εδεξατο', 3, 'N/A', 'N/A', 'N/A', 'N/A')
(6270, 'εδεσμειτο', 2, 'N/A', 'N/A', 'N/A', 'N/A')
(6271, 'εδεσμευετο', 1, 'N/A', 'N/A', 'N/A', 'N/A')
(16763, 'εδηλου', 1, 'N/A', 'N/A', 'N/A', 'N/A')
(12601, 'εδηλωθη', 1, 'N/A', 'N/A', 'N/A', 'N/A')
(17042, 'εδηλωσεν', 1, 'N/A', 'N/A', 'N/A', 'N/A')
(9893, 'εδημηγορει', 1, 'N/A', 'N/A', 'N/A', 'N/A')
(8657, 'εδησαν', 2, 'N/A', 'N/A', 'N/A', 'N/A')
(2361, 'εδησεν', 4, 'N/A', 'N/A', 'N/A', 'N/A')
(8668, 'εδιδαξα', 1, 'N/A', 'N/A', 'N/A', 'N/A')
(4612, 'εδιδαξαν', 1, 'N/A', 'N/A', 'N/A', 'N/A')
(6762, 'εδιδαξασ', 1, 'N/A', 'N/A', 'N/A', 'N/A')
(6489, 'εδιδαξεν', 5, 'N/A', 'N/A', 'N/A', 'N/A')
(680, 'εδιδασκεν', 17, 'N/A', 'N/A', 'N/A', 'N/A')
(9233, 'εδιδασκον', 2, 'N/A', 'N/A', 'N/A', 'N/A')
(14031, 'εδιδαχθην', 1, 'N/A', 'N/A', 'N/A', 'N/A')
(4142, 'εδιδαχθησαν', 1, 'N/A', 'N/A', 'N/A', 'N/A')
(14390, 'εδιδαχθητε', 3, 'N/A', 'N/A', 'N/A', 'N/A')
(8694, 'εδιδοσαν', 1, 'N/A', 'N/A', 'N/A', 'N/A')
(2154, 'εδιδου', 11, 'N/A', 'N/A', 'N/A', 'N/A')
(4286, 'εδιδουν', 4, 'N/A', 'N/A', 'N/A', 'N/A')
(1889, 'εδικαιωθη', 6, 'N/A', 'N/A', 'N/A', 'N/A')
(12824, 'εδικαιωθητε', 1, 'N/A', 'N/A', 'N/A', 'N/A')
(6157, 'εδικαιωσαν', 1, 'N/A', 'N/A', 'N/A', 'N/A')
(12083, 'εδικαιωσεν', 2, 'N/A', 'N/A', 'N/A', 'N/A')
(4147, 'εδιστασαν', 1, 'N/A', 'N/A', 'N/A', 'N/A')
(2454, 'εδιστασασ', 1, 'N/A', 'N/A', 'N/A', 'N/A')
(3691, 'εδιψησα', 2, 'N/A', 'N/A', 'N/A', 'N/A')
(14178, 'εδιωκεν', 1, 'N/A', 'N/A', 'N/A', 'N/A')
(7978, 'εδιωκον', 3, 'N/A', 'N/A', 'N/A', 'N/A')
(10914, 'εδιωξα', 2, 'N/A', 'N/A', 'N/A', 'N/A')
(717, 'εδιωξαν', 3, 'N/A', 'N/A', 'N/A', 'N/A')
(17847, 'εδιωξεν', 1, 'N/A', 'N/A', 'N/A', 'N/A')
(2388, 'εδοθη', 33, 'N/A', 'N/A', 'N/A', 'N/A')
(17663, 'εδοθησαν', 2, 'N/A', 'N/A', 'N/A', 'N/A')
(9856, 'εδοκει', 1, 'N/A', 'N/A', 'N/A', 'N/A')
(13758, 'εδοκιμασαμεν', 1, 'N/A', 'N/A', 'N/A', 'N/A')
(11678, 'εδοκιμασαν', 3, 'N/A', 'N/A', 'N/A', 'N/A')
(7678, 'εδοκουν', 2, 'N/A', 'N/A', 'N/A', 'N/A')
(11804, 'εδολιουσαν', 1, 'N/A', 'N/A', 'N/A', 'N/A')
(11257, 'εδοξα', 1, 'N/A', 'N/A', 'N/A', 'N/A')
(6728, 'εδοξαζεν', 2, 'N/A', 'N/A', 'N/A', 'N/A')
(5966, 'εδοξαζον', 8, 'N/A', 'N/A', 'N/A', 'N/A')
(4651, 'εδοξαν', 2, 'N/A', 'N/A', 'N/A', 'N/A')
(8434, 'εδοξασα', 2, 'N/A', 'N/A', 'N/A', 'N/A')
(1473, 'εδοξασαν', 4, 'N/A', 'N/A', 'N/A', 'N/A')
(7576, 'εδοξασεν', 6, 'N/A', 'N/A', 'N/A', 'N/A')
(8143, 'εδοξασθη', 8, 'N/A', 'N/A', 'N/A', 'N/A')
(5363, 'εδοξεν', 4, 'N/A', 'N/A', 'N/A', 'N/A')
(14141, 'εδουλευσατε', 1, 'N/A', 'N/A', 'N/A', 'N/A')
(14586, 'εδουλευσεν', 1, 'N/A', 'N/A', 'N/A', 'N/A')
(11964, 'εδουλωθητε', 1, 'N/A', 'N/A', 'N/A', 'N/A')
(12994, 'εδουλωσα', 1, 'N/A', 'N/A', 'N/A', 'N/A')
(13372, 'εδραιοι', 2, 'N/A', 'N/A', 'N/A', 'N/A')
(12924, 'εδραιοσ', 3, 'N/A', 'N/A', 'N/A', 'N/A')
(15193, 'εδραιωμα', 1, 'N/A', 'N/A', 'N/A', 'N/A')
(4452, 'εδραμεν', 2, 'N/A', 'N/A', 'N/A', 'N/A')
(4123, 'εδραμον', 3, 'N/A', 'N/A', 'N/A', 'N/A')
(4204, 'εδυ', 1, 'N/A', 'N/A', 'N/A', 'N/A')
(16306, 'εδυναμωθησαν', 1, 'N/A', 'N/A', 'N/A', 'N/A')
(4409, 'εδυναντο', 2, 'N/A', 'N/A', 'N/A', 'N/A')
(12666, 'εδυνασθε', 1, 'N/A', 'N/A', 'N/A', 'N/A')
(3311, 'εδυνατο', 14, 'N/A', 'N/A', 'N/A', 'N/A')
(8486, 'εδωκα', 2, 'N/A', 'N/A', 'N/A', 'N/A')
(14928, 'εδωκαμεν', 1, 'N/A', 'N/A', 'N/A', 'N/A')
(3940, 'εδωκαν', 8, 'N/A', 'N/A', 'N/A', 'N/A')
(6191, 'εδωκασ', 13, 'N/A', 'N/A', 'N/A', 'N/A')
(3690, 'εδωκατε', 3, 'N/A', 'N/A', 'N/A', 'N/A')
(1622, 'εδωκεν', 82, 'N/A', 'N/A', 'N/A', 'N/A')
(5286, 'εδωρησατο', 1, 'N/A', 'N/A', 'N/A', 'N/A')
(56, 'εζεκιαν', 1, 'N/A', 'N/A', 'N/A', 'N/A')
(57, 'εζεκιασ', 1, 'N/A', 'N/A', 'N/A', 'N/A')
(14616, 'εζημιωθην', 1, 'N/A', 'N/A', 'N/A', 'N/A')
(11248, 'εζησα', 1, 'N/A', 'N/A', 'N/A', 'N/A')
(18121, 'εζησαν', 2, 'N/A', 'N/A', 'N/A', 'N/A')
(6938, 'εζησεν', 8, 'N/A', 'N/A', 'N/A', 'N/A')
(14798, 'εζητε', 1, 'N/A', 'N/A', 'N/A', 'N/A')
(3759, 'εζητει', 11, 'N/A', 'N/A', 'N/A', 'N/A')
(5700, 'εζητειτε', 1, 'N/A', 'N/A', 'N/A', 'N/A')
(16045, 'εζητειτο', 1, 'N/A', 'N/A', 'N/A', 'N/A')
(10229, 'εζητησαμεν', 1, 'N/A', 'N/A', 'N/A', 'N/A')
(7256, 'εζητησαν', 1, 'N/A', 'N/A', 'N/A', 'N/A')
(15413, 'εζητησεν', 1, 'N/A', 'N/A', 'N/A', 'N/A')
(5699, 'εζητουμεν', 1, 'N/A', 'N/A', 'N/A', 'N/A')
(3872, 'εζητουν', 22, 'N/A', 'N/A', 'N/A', 'N/A')
(2273, 'εζυμωθη', 2, 'N/A', 'N/A', 'N/A', 'N/A')
(15483, 'εζωγρημενοι', 1, 'N/A', 'N/A', 'N/A', 'N/A')
(11998, 'εζων', 1, 'N/A', 'N/A', 'N/A', 'N/A')
(8824, 'εζωννυεσ', 1, 'N/A', 'N/A', 'N/A', 'N/A')
(4190, 'εθαμβηθησαν', 1, 'N/A', 'N/A', 'N/A', 'N/A')
(4915, 'εθαμβουντο', 2, 'N/A', 'N/A', 'N/A', 'N/A')
(11981, 'εθανατωθητε', 1, 'N/A', 'N/A', 'N/A', 'N/A')
(4554, 'εθαυμαζεν', 3, 'N/A', 'N/A', 'N/A', 'N/A')
(4486, 'εθαυμαζον', 11, 'N/A', 'N/A', 'N/A', 'N/A')
(17991, 'εθαυμασα', 1, 'N/A', 'N/A', 'N/A', 'N/A')
(1392, 'εθαυμασαν', 14, 'N/A', 'N/A', 'N/A', 'N/A')
(17992, 'εθαυμασασ', 1, 'N/A', 'N/A', 'N/A', 'N/A')
(1324, 'εθαυμασεν', 7, 'N/A', 'N/A', 'N/A', 'N/A')
(17863, 'εθαυμασθη', 1, 'N/A', 'N/A', 'N/A', 'N/A')
(2394, 'εθαψαν', 3, 'N/A', 'N/A', 'N/A', 'N/A')
(5323, 'εθεαθη', 1, 'N/A', 'N/A', 'N/A', 'N/A')
(7716, 'εθεασαμεθα', 2, 'N/A', 'N/A', 'N/A', 'N/A')
(7599, 'εθεασαντο', 2, 'N/A', 'N/A', 'N/A', 'N/A')
(8867, 'εθεασασθε', 1, 'N/A', 'N/A', 'N/A', 'N/A')
(5968, 'εθεασατο', 1, 'N/A', 'N/A', 'N/A', 'N/A')
(10109, 'εθει', 3, 'N/A', 'N/A', 'N/A', 'N/A')
(14789, 'εθελοθρησκεια', 2, 'N/A', 'N/A', 'N/A', 'N/A')
(14790, 'εθελοθρησκια', 1, 'N/A', 'N/A', 'N/A', 'N/A')
(15749, 'εθεμελιωσασ', 1, 'N/A', 'N/A', 'N/A', 'N/A')
(5540, 'εθεντο', 4, 'N/A', 'N/A', 'N/A', 'N/A')
(5895, 'εθεραπευεν', 1, 'N/A', 'N/A', 'N/A', 'N/A')
(2723, 'εθεραπευθη', 3, 'N/A', 'N/A', 'N/A', 'N/A')
(9507, 'εθεραπευθησαν', 1, 'N/A', 'N/A', 'N/A', 'N/A')
(4572, 'εθεραπευον', 1, 'N/A', 'N/A', 'N/A', 'N/A')
(6023, 'εθεραπευοντο', 5, 'N/A', 'N/A', 'N/A', 'N/A')
(669, 'εθεραπευσεν', 15, 'N/A', 'N/A', 'N/A', 'N/A')
(17920, 'εθερισθη', 1, 'N/A', 'N/A', 'N/A', 'N/A')
(8667, 'εθερμαινοντο', 1, 'N/A', 'N/A', 'N/A', 'N/A')
(9240, 'εθεσθε', 1, 'N/A', 'N/A', 'N/A', 'N/A')
(10842, 'εθεσιν', 2, 'N/A', 'N/A', 'N/A', 'N/A')
(2362, 'εθετο', 9, 'N/A', 'N/A', 'N/A', 'N/A')
(4299, 'εθεωρει', 3, 'N/A', 'N/A', 'N/A', 'N/A')
(17810, 'εθεωρησαν', 1, 'N/A', 'N/A', 'N/A', 'N/A')
(4301, 'εθεωρουν', 4, 'N/A', 'N/A', 'N/A', 'N/A')
(9328, 'εθη', 2, 'N/A', 'N/A', 'N/A', 'N/A')
(7201, 'εθηκα', 3, 'N/A', 'N/A', 'N/A', 'N/A')
(4609, 'εθηκαν', 9, 'N/A', 'N/A', 'N/A', 'N/A')
(7197, 'εθηκασ', 2, 'N/A', 'N/A', 'N/A', 'N/A')
(4075, 'εθηκεν', 12, 'N/A', 'N/A', 'N/A', 'N/A')
(7534, 'εθηλασαν', 2, 'N/A', 'N/A', 'N/A', 'N/A')
(6522, 'εθηλασασ', 1, 'N/A', 'N/A', 'N/A', 'N/A')
(13325, 'εθηριομαχησα', 1, 'N/A', 'N/A', 'N/A', 'N/A')
(16692, 'εθησαυρισατε', 1, 'N/A', 'N/A', 'N/A', 'N/A')
(13935, 'εθναρχησ', 1, 'N/A', 'N/A', 'N/A', 'N/A')
(3200, 'εθνει', 7, 'N/A', 'N/A', 'N/A', 'N/A')
(1709, 'εθνεσιν', 36, 'N/A', 'N/A', 'N/A', 'N/A')
(1111, 'εθνη', 61, 'N/A', 'N/A', 'N/A', 'N/A')
(940, 'εθνικοι', 2, 'N/A', 'N/A', 'N/A', 'N/A')
(2807, 'εθνικοσ', 1, 'N/A', 'N/A', 'N/A', 'N/A')
(17315, 'εθνικων', 1, 'N/A', 'N/A', 'N/A', 'N/A')
(14080, 'εθνικωσ', 1, 'N/A', 'N/A', 'N/A', 'N/A')
(3469, 'εθνοσ', 24, 'N/A', 'N/A', 'N/A', 'N/A')
(8392, 'εθνουσ', 7, 'N/A', 'N/A', 'N/A', 'N/A')
(607, 'εθνων', 53, 'N/A', 'N/A', 'N/A', 'N/A')
(10338, 'εθορυβουν', 1, 'N/A', 'N/A', 'N/A', 'N/A')
(5388, 'εθοσ', 6, 'N/A', 'N/A', 'N/A', 'N/A')
(9195, 'εθου', 1, 'N/A', 'N/A', 'N/A', 'N/A')
(3704, 'εθρεψαμεν', 1, 'N/A', 'N/A', 'N/A', 'N/A')
(7535, 'εθρεψαν', 1, 'N/A', 'N/A', 'N/A', 'N/A')
(16700, 'εθρεψατε', 1, 'N/A', 'N/A', 'N/A', 'N/A')
(1881, 'εθρηνησαμεν', 6, 'N/A', 'N/A', 'N/A', 'N/A')
(7528, 'εθρηνουν', 1, 'N/A', 'N/A', 'N/A', 'N/A')
(326, 'εθυμωθη', 1, 'N/A', 'N/A', 'N/A', 'N/A')
(5118, 'εθυον', 1, 'N/A', 'N/A', 'N/A', 'N/A')
(6934, 'εθυσασ', 1, 'N/A', 'N/A', 'N/A', 'N/A')
(6925, 'εθυσεν', 1, 'N/A', 'N/A', 'N/A', 'N/A')
(11238, 'εθων', 2, 'N/A', 'N/A', 'N/A', 'N/A')
(236, 'ει', 654, 'N/A', 'N/A', 'N/A', 'N/A')
(5900, 'εια', 1, 'N/A', 'N/A', 'N/A', 'N/A')
(11454, 'ειασαν', 1, 'N/A', 'N/A', 'N/A', 'N/A')
(3574, 'ειασεν', 4, 'N/A', 'N/A', 'N/A', 'N/A')
(13579, 'ειγε', 10, 'N/A', 'N/A', 'N/A', 'N/A')
(9138, 'ειδαμεν', 1, 'N/A', 'N/A', 'N/A', 'N/A')
(2191, 'ειδαν', 5, 'N/A', 'N/A', 'N/A', 'N/A')
(4111, 'ειδεα', 1, 'N/A', 'N/A', 'N/A', 'N/A')
(5756, 'ειδει', 1, 'N/A', 'N/A', 'N/A', 'N/A')
(511, 'ειδεν', 53, 'N/A', 'N/A', 'N/A', 'N/A')
(7243, 'ειδεναι', 17, 'N/A', 'N/A', 'N/A', 'N/A')
(11280, 'ειδεσ', 11, 'N/A', 'N/A', 'N/A', 'N/A')
(6149, 'ειδετε', 6, 'N/A', 'N/A', 'N/A', 'N/A')
(15190, 'ειδησ', 1, 'N/A', 'N/A', 'N/A', 'N/A')
(16060, 'ειδησουσιν', 1, 'N/A', 'N/A', 'N/A', 'N/A')
(1467, 'ειδητε', 6, 'N/A', 'N/A', 'N/A', 'N/A')
(208, 'ειδομεν', 11, 'N/A', 'N/A', 'N/A', 'N/A')
(271, 'ειδον', 94, 'N/A', 'N/A', 'N/A', 'N/A')
(6349, 'ειδοσ', 2, 'N/A', 'N/A', 'N/A', 'N/A')
(15002, 'ειδοσιν', 1, 'N/A', 'N/A', 'N/A', 'N/A')
(14931, 'ειδοτα', 1, 'N/A', 'N/A', 'N/A', 'N/A')
(17035, 'ειδοτασ', 2, 'N/A', 'N/A', 'N/A', 'N/A')
(3285, 'ειδοτεσ', 29, 'N/A', 'N/A', 'N/A', 'N/A')
(16683, 'ειδοτι', 1, 'N/A', 'N/A', 'N/A', 'N/A')
(13592, 'ειδουσ', 2, 'N/A', 'N/A', 'N/A', 'N/A')
(4515, 'ειδυια', 2, 'N/A', 'N/A', 'N/A', 'N/A')
(13182, 'ειδω', 2, 'N/A', 'N/A', 'N/A', 'N/A')
(11763, 'ειδωλα', 3, 'N/A', 'N/A', 'N/A', 'N/A')
(12947, 'ειδωλειω', 1, 'N/A', 'N/A', 'N/A', 'N/A')
(12949, 'ειδωλοθυτα', 3, 'N/A', 'N/A', 'N/A', 'N/A')
(10852, 'ειδωλοθυτον', 7, 'N/A', 'N/A', 'N/A', 'N/A')
(10175, 'ειδωλοθυτων', 3, 'N/A', 'N/A', 'N/A', 'N/A')
(12816, 'ειδωλολατραι', 3, 'N/A', 'N/A', 'N/A', 'N/A')
